Pokemon,cluster_p1,tipo_top,tipo_top_count,tipo_2,tipo_2_count
Pignite,0,fire,17,fighting,11
Pansear,0,fire,15,dark,11
Quilava,0,fire,20,fighting,7
Rapidash,0,fire,16,poison,7
Pyroar,0,fire,15,dark,9
Ponyta,0,fire,16,psychic,5
Vulpix,0,fire,16,psychic,8
Ninetales,0,fire,16,psychic,11
Blaziken,0,fire,21,fighting,18
Magmar,0,fire,18,fighting,14
Magby,0,fire,18,fighting,11
Magmortar,0,fire,18,fighting,14
Monferno,0,fire,20,fighting,16
Larvesta,0,fire,13,bug,10
Charmander,0,fire,23,dragon,12
Victini,0,fire,19,psychic,14
Chimchar,0,fire,19,fighting,13
Combusken,0,fire,19,fighting,16
Simisear,0,fire,15,dark,11
Typhlosion,0,fire,22,fighting,13
Darumaka,0,fire,16,rock,7
Growlithe,0,fire,18,fighting,6
Darmanitan,0,fire,16,rock,9
Cyndaquil,0,fire,20,poison,4
Litleo,0,fire,15,dark,9
Charmeleon,0,fire,23,dragon,12
Arcanine,0,fire,18,fighting,6
Emboar,0,fire,18,fighting,13
Torchic,0,fire,16,fighting,7
Tepig,0,fire,15,rock,6
Entei,0,fire,19,rock,5
Fennekin,0,fire,15,psychic,10
Fraxure,1,dragon,14,dark,7
Giratina,1,dragon,12,ghost,9
Kyurem-Black,1,dragon,13,ice,10
Lillipup,1,electric,6,dark,5
Sliggoo,1,poison,12,dragon,7
Herdier,1,dark,6,electric,6
Gyarados,1,water,13,dragon,11
Haxorus,1,dragon,14,fighting,8
Tyrunt,1,rock,12,dragon,11
Giratina-Origin,1,dragon,12,ghost,9
Gabite,1,dragon,15,rock,10
Gible,1,dragon,14,rock,10
Stoutland,1,electric,7,dark,6
Tyrantrum,1,rock,13,dragon,11
Goodra,1,poison,12,dragon,9
Goomy,1,poison,12,dragon,7
Hydreigon,1,dragon,13,dark,10
Kyurem-White,1,dragon,13,ice,11
Kyurem,1,dragon,13,ice,9
Shelgon,1,dragon,16,fire,9
Dialga,1,dragon,13,rock,11
Druddigon,1,dark,16,poison,11
Dragonite,1,dragon,18,flying,12
Dratini,1,dragon,16,water,10
Deino,1,dragon,13,dark,9
Dragonair,1,dragon,16,water,10
Reshiram,1,fire,14,dragon,13
Palkia,1,dragon,13,water,10
Salamence,1,dragon,18,fire,10
Bagon,1,dragon,16,fire,9
Zygarde,1,dragon,11,poison,7
Zweilous,1,dragon,13,dark,9
Axew,1,dragon,12,dark,7
Zekrom,1,electric,13,dragon,13
Arceus-Ice,2,psychic,17,water,12
Arceus-Ghost,2,psychic,17,water,12
Arceus-Electric,2,psychic,17,water,12
Arceus-Dragon,2,psychic,17,water,12
Arceus-Fire,2,psychic,17,water,12
Arceus-Bug,2,psychic,17,water,12
Arceus-Ground,2,psychic,17,water,12
Arceus-Grass,2,psychic,17,water,12
Arceus-Water,2,psychic,17,water,12
Arceus,2,psychic,17,water,12
Arceus-Steel,2,psychic,17,water,12
Arceus-Poison,2,psychic,17,water,12
Arceus-Psychic,2,psychic,17,water,12
Arceus-Rock,2,psychic,17,water,12
Arceus-Fighting,2,psychic,17,water,12
Arceus-Flying,2,psychic,17,water,12
Arceus-Fairy,2,psychic,17,water,12
Arceus-Dark,2,psychic,17,water,12
Serperior,3,grass,24,dragon,7
Servine,3,grass,23,dark,6
Seedot,3,grass,14,psychic,4
Meganium,3,grass,28,poison,7
Venusaur,3,grass,29,poison,13
Carnivine,3,grass,21,dark,8
Shaymin-Sky,3,grass,17,psychic,5
Shaymin,3,grass,17,psychic,5
Paras,3,grass,15,poison,13
Bellossom,3,grass,25,poison,13
Bellsprout,3,grass,17,poison,16
Victreebel,3,grass,20,poison,16
Trevenant,3,grass,14,psychic,12
Treecko,3,grass,23,fighting,12
Cottonee,3,grass,17,dark,7
Snover,3,grass,17,ice,15
Snivy,3,grass,23,dark,6
Hoppip,3,grass,20,poison,7
Ivysaur,3,grass,28,poison,13
Jumpluff,3,grass,20,poison,7
Bulbasaur,3,grass,28,poison,13
Maractus,3,grass,26,poison,7
Cacnea,3,grass,19,poison,14
Cacturne,3,grass,20,poison,14
Sawsbuck,3,grass,14,fighting,5
Sceptile,3,grass,25,fighting,14
Breloom,3,fighting,18,grass,15
Budew,3,grass,19,poison,8
Virizion,3,grass,11,fighting,8
Vileplume,3,grass,23,poison,13
Oddish,3,grass,21,poison,13
Nuzleaf,3,grass,15,dark,13
Roselia,3,grass,25,poison,16
Roserade,3,grass,28,poison,18
Whimsicott,3,grass,17,dark,9
Petilil,3,grass,20,psychic,4
Pansage,3,grass,16,dark,11
Phantump,3,grass,14,ghost,11
Pumpkaboo,3,grass,12,psychic,10
Parasect,3,grass,15,poison,13
Abomasnow,3,grass,17,ice,15
Wormadam,3,grass,12,bug,7
Bayleef,3,grass,26,poison,7
Weepinbell,3,grass,17,poison,16
Foongus,3,grass,14,poison,13
Florges,3,grass,19,fairy,7
Floette-Eternal,3,grass,18,fairy,6
Floette,3,grass,18,fairy,5
Flabebe,3,grass,18,fairy,5
Gogoat,3,grass,14,rock,5
Gloom,3,grass,22,poison,13
Gourgeist,3,grass,12,ghost,10
Sunflora,3,grass,24,poison,6
Turtwig,3,grass,21,rock,5
Grovyle,3,grass,24,fighting,13
Tropius,3,grass,16,flying,11
Grotle,3,grass,21,rock,5
Sunkern,3,grass,20,poison,6
Lotad,3,grass,13,water,10
Skiploom,3,grass,20,poison,7
Cherubi,3,grass,18,psychic,4
Cherrim,3,grass,19,psychic,4
Skiddo,3,grass,14,rock,5
Simisage,3,grass,16,dark,11
Shiftry,3,grass,17,dark,15
Shroomish,3,grass,15,poison,11
Lilligant,3,grass,22,psychic,6
Chikorita,3,grass,26,poison,7
Torterra,3,grass,23,rock,13
Tangela,3,grass,22,poison,9
Tangrowth,3,grass,22,poison,12
Exeggutor,3,grass,19,psychic,16
Exeggcute,3,grass,18,psychic,14
Deerling,3,grass,13,psychic,4
Amoonguss,3,grass,14,poison,13
Whiscash,4,water,17,ground,10
Politoed,4,water,17,ice,14
Poliwag,4,water,17,ice,10
Palpitoad,4,water,11,poison,9
Oshawott,4,water,20,ice,6
Panpour,4,water,17,ice,11
Wartortle,4,water,25,fighting,10
