Pokemon,cluster
Pignite,0
Pansear,0
Quilava,0
Rapidash,0
Pyroar,0
Ponyta,0
Vulpix,0
Ninetales,0
Blaziken,0
Magmar,0
Magby,0
Magmortar,0
Monferno,0
Larvesta,0
Charmander,0
Victini,0
Chimchar,0
Combusken,0
Simisear,0
Typhlosion,0
Darumaka,0
Growlithe,0
Darmanitan,0
Cyndaquil,0
Litleo,0
Charmeleon,0
Arcanine,0
Emboar,0
Torchic,0
Tepig,0
Entei,0
Fennekin,0
Fraxure,1
Giratina,1
Kyurem-Black,1
Lillipup,1
Sliggoo,1
Herdier,1
Gyarados,1
Haxorus,1
Tyrunt,1
Giratina-Origin,1
Gabite,1
Gible,1
Stoutland,1
Tyrantrum,1
Goodra,1
Goomy,1
Hydreigon,1
Kyurem-White,1
Kyurem,1
Shelgon,1
Dialga,1
Druddigon,1
Dragonite,1
Dratini,1
Deino,1
Dragonair,1
Reshiram,1
Palkia,1
Salamence,1
Bagon,1
Zygarde,1
Zweilous,1
Axew,1
Zekrom,1
Arceus-Ice,2
Arceus-Ghost,2
Arceus-Electric,2
Arceus-Dragon,2
Arceus-Fire,2
Arceus-Bug,2
Arceus-Ground,2
Arceus-Grass,2
Arceus-Water,2
Arceus,2
Arceus-Steel,2
Arceus-Poison,2
Arceus-Psychic,2
Arceus-Rock,2
Arceus-Fighting,2
Arceus-Flying,2
Arceus-Fairy,2
Arceus-Dark,2
Serperior,3
Servine,3
Seedot,3
Meganium,3
Venusaur,3
Carnivine,3
Shaymin-Sky,3
Shaymin,3
Paras,3
Bellossom,3
Bellsprout,3
Victreebel,3
Trevenant,3
Treecko,3
Cottonee,3
Snover,3
Snivy,3
Hoppip,3
Ivysaur,3
Jumpluff,3
Bulbasaur,3
Maractus,3
Cacnea,3
Cacturne,3
Sawsbuck,3
Sceptile,3
Breloom,3
Budew,3
Virizion,3
Vileplume,3
Oddish,3
Nuzleaf,3
Roselia,3
Roserade,3
Whimsicott,3
Petilil,3
Pansage,3
Phantump,3
Pumpkaboo,3
Parasect,3
Abomasnow,3
Wormadam,3
Bayleef,3
Weepinbell,3
Foongus,3
Florges,3
Floette-Eternal,3
Floette,3
Flabebe,3
Gogoat,3
Gloom,3
Gourgeist,3
Sunflora,3
Turtwig,3
Grovyle,3
Tropius,3
Grotle,3
Sunkern,3
Lotad,3
Skiploom,3
Cherubi,3
Cherrim,3
Skiddo,3
Simisage,3
Shiftry,3
Shroomish,3
Lilligant,3
Chikorita,3
Torterra,3
Tangela,3
Tangrowth,3
Exeggutor,3
Exeggcute,3
Deerling,3
Amoonguss,3
Whiscash,4
Politoed,4
Poliwag,4
Palpitoad,4
Oshawott,4
Panpour,4
Wartortle,4
Swampert,4
Floatzel,4
Mudkip,4
Feraligatr,4
Dragalge,4
Dewott,4
Delibird,4
Lombre,4
Ludicolo,4
Sharpedo,4
Seismitoad,4
Carvanha,4
Marill,4
Croconaw,4
Crawdaunt,4
Greninja,4
Cubchoo,4
Blastoise,4
Marshtomp,4
Buizel,4
Golduck,4
Stunfisk,4
Frogadier,4
Froakie,4
Samurott,4
Totodile,4
Tympole,4
Corphish,4
Basculin,4
Poliwhirl,4
Beartic,4
Psyduck,4
Barboach,4
Simipour,4
Krabby,4
Keldeo,4
Kingler,4
Clauncher,4
Clawitzer,4
Skrelp,4
Squirtle,4
Azumarill,4
Azurill,4
Poliwrath,4
Watchog,5
Flareon,5
Delcatty,5
Glaceon,5
Blissey,5
Happiny,5
Lopunny,5
Linoone,5
Bidoof,5
Minun,5
Bibarel,5
Plusle,5
Wigglytuff,5
Chansey,5
Leafeon,5
Igglybuff,5
Sentret,5
Vaporeon,5
Buneary,5
Furfrou,5
Furret,5
Umbreon,5
Eevee,5
Audino,5
Skitty,5
Clefairy,5
Cleffa,5
Kecleon,5
Jigglypuff,5
Sylveon,5
Swirlix,5
Togekiss,5
